dist,type,name,location,lng,lat,org,seat,a,b,c,d,dis,par
大同區,交通,捷運雙連站(淡水信義線),臺北市大同區民生西路47號,121.520653,25.057686,捷運雙連站,3,3,0,0,0,0,1
大同區,交通,捷運民權西路站(淡水信義線),臺北市大同區民權西路72號,121.519531,25.062724,捷運民權西路站,3,3,0,0,0,0,1
大同區,交通,捷運圓山站(淡水信義線),臺北市大同區酒泉街9之1號,121.520118,25.071353,捷運圓山站,3,3,0,0,0,0,1
大同區,交通,捷運北門站(松山新店線),臺北市大同區塔城街10號,121.510184,25.049554,捷運北門站(松山新店線),6,6,0,0,0,0,2
大同區,交通,捷運中山站(松山新店線),臺北市大同區南京西路55號,121.520364,25.052621,捷運中山站(松山新店線),3,3,0,0,0,0,1
大同區,交通,臺北市啟聰學校地下停車場,臺北市大同區延平北路四段205號地下室,121.511747,25.074299,臺北市停管處啟聰學校地下停車場,3,3,0,0,0,1,0
大同區,交通,大稻埕公園地下停車場(署),臺北市大同區歸綏街243號地下,121.510314,25.058348,臺北市停車管理工程處大稻埕公園地下停車場,3,3,0,0,0,1,0
大同區,交通,成淵高中地下停車場,臺北市大同區承德路二段235號之1地下室,121.519698,25.060765,臺北市停車管理工程處成淵高中地下停車場,3,0,3,0,0,1,0
大同區,交通,建成國中地下停車場(署),臺北市大同區長安西路37號之1地下室,121.519621,25.050483,臺北市停車管理工程處建成國中地下停車場,3,3,0,0,0,1,0
大同區,交通,揚雅立體停車場,臺北市大同區大龍街136號,121.515846,25.067427,臺北市停車管理工程處揚雅立體停車場,2,0,2,0,0,0,0
大同區,交通,市民大道地下停車場塔城段,臺北市大同區西寧北路-塔城街間地下,121.509083,25.050352,臺北市停車管理工程處市民大道塔城段地下停車場,3,1,2,0,0,1,0
大同區,交通,塔城公園地下停車場(署),臺北市大同區塔城街11號地下,121.510651,25.050686,臺北市停車管理工程處塔城公園地下停車場,3,3,0,0,0,1,0
大同區,交通,朝陽公園地下停車場(署),臺北市大同區重慶北路二段68號B1,121.513168,25.055952,臺北市政府停車管理處朝陽公園地下停車場,3,3,0,0,0,1,0
大同區,交通,臺北轉運站,臺北市大同區市民大道一段209號,121.518569,25.048786,萬達通實業股份有限公司,12,12,0,0,0,4,0
大同區,交通,捷運民權西路站(新蘆線),臺北市大同區民權西路72號1F,121.519346,25.062879,臺北大眾捷運股份有限公司捷運民權西路站(新蘆線),5,5,0,0,0,0,1
大同區,交通,捷運大橋頭站(新蘆線),臺北市大同區民權西路223號,121.513043,25.063171,臺北大眾捷運股份有限公司捷運大橋頭站(新蘆線),5,5,0,0,0,1,1
大同區,交通,蓬萊國小地下停車場,臺北市大同區寧夏路35號B1(夜),121.515710,25.056387,臺北市停車管理工程處蓬萊國小地下停車場,5,0,5,0,0,1,0
大同區,交通,大龍國小地下停車場,臺北市大同區哈密街47號地下,121.516707,25.073472,臺北市停車管理工程處大龍國小地下停車場,3,3,0,0,0,1,0
大同區,交通,建成公園地下停車場(署),臺北市大同區承德路二段31號,121.518145,25.054064,臺北市停車管理工程處建成公園地下停車場,3,3,0,0,0,1,0
大同區,文化育樂場所,大稻埕戲苑,臺北市大同區迪化街一段21號8樓,121.510325,25.054501,臺北市藝文推廣處,5,5,0,0,0,1,0
大同區,文化育樂場所,新芳春茶行,臺北市大同區民生西路309號,121.512543,25.057079,財團法人臺灣文創發展基金會,5,5,0,0,0,1,1
大同區,文化育樂場所,臺北當代藝術館,臺北市大同區長安西路39號,121.518381,25.050821,臺北當代藝術館,2,2,0,0,0,0,0
大同區,文化育樂場所,大同運動中心,臺北市大同區大龍街51號,121.516314,25.064665,舞動陽光有限公司,12,12,0,0,0,2,0
大同區,觀光遊憩,臺北迪化污水處理廠附設休閒運動公園   ,臺北市大同區酒泉街235號,121.510610,25.072468,臺北迪化污水處理廠附設休閒運動公園,2,0,2,0,0,0,0
大同區,加油站,中油民權西路加油站,臺北市大同區民權西路194號,121.514394,25.062837,臺灣中油股份有限公司民權西路站,3,3,0,0,0,1,0
大同區,公園,蘭州公園(署),臺北市大同區蘭州街89巷前,121.515572,25.064239,公園路燈工程管理處圓山管理所,3,3,0,0,0,1,0
大同區,公園,樹德公園(署),臺北市大同區大龍街90之10號前,121.516499,25.067032,公園路燈工程管理處圓山公園管理所,3,3,0,0,0,1,0
大同區,公園,歸綏公園(署),臺北市大同區重慶北路及歸綏街口,121.513290,25.058015,公園路燈工程管理處圓山公園管理所,3,3,0,0,0,1,0
大同區,市場,公有雙連市場(署),臺北市大同區民生西路198號,121.516840,25.057036,臺北市市場處公有雙連市場,3,2,1,0,0,1,0
大同區,市場,公有永樂市場(署),臺北市大同區迪化街一段21號,121.510334,25.054812,臺北市市場處公有永樂市場,12,12,0,0,0,0,0
大同區,市場,公有大龍市場(署),臺北市大同區重慶北路三段347號,121.514160,25.074936,臺北市市場處公有大龍市場,4,4,0,0,0,1,1
大同區,市場,公有蘭州市場(署),臺北市大同區昌吉街55號,121.515667,25.066010,臺北市公有蘭州市場,3,3,0,0,0,1,0
大同區,綜合零售賣場,統一超商臺北市三德門市,臺北市大同區承德路三段55號57號1樓,121.518588,25.065245,統一超商股份有限公司臺北市三德門市,1,0,1,0,0,0,0
大同區,綜合零售賣場,統一超商臺北市德倫門市,臺北市大同區承德路三段240號242號1樓,121.518552,25.072542,統一超商股份有限公司臺北市德倫門市,1,0,1,0,0,0,0
大同區,綜合零售賣場,統一超商臺北市昌吉門市,臺北市大同區承德路三段60號60-1號,121.518105,25.065300,統一超商股份有限公司臺北市昌吉門市,1,0,1,0,0,0,0
大同區,綜合零售賣場,統一超商臺北市鑫寧門市,臺北市大同區民生西路214號,121.514962,25.057027,統一超商股份有限公司臺北市鑫寧門市,1,0,1,0,0,0,0
大同區,綜合零售賣場,統一超商臺北市延埕門市,臺北市大同區延平北路二段159號1樓,121.511596,25.058262,統一超商股份有限公司臺北市延埕門市,1,0,1,0,0,0,0
大同區,綜合零售賣場,統一超商臺北市靜中門市,臺北市大同區寧夏路71號,121.515191,25.058503,統一超商股份有限公司,1,0,1,0,0,0,0
大同區,綜合零售賣場,統一超商臺北市蓬萊門市,臺北市大同區寧夏路131之1號,121.514507,25.060667,統一超商股份有限公司,1,0,1,0,0,0,0
大同區,綜合零售賣場,統一超商臺北市仟發門市,臺北市大同區民生西路95號,121.519262,25.057605,統一超商股份有限公司,1,0,1,0,0,0,0
